 time, vibration, pressure, z_tilt
 14:51:14 2022/6/3,1,864,12484
 14:51:15 2022/6/3,1,855,12688
 14:51:15 2022/6/3,1,854,12624
 14:51:16 2022/6/3,1,847,12668
 14:51:16 2022/6/3,1,839,12724
 14:51:17 2022/6/3,1,841,12844
 14:51:17 2022/6/3,1,836,12604
 14:51:18 2022/6/3,1,845,12552
 14:51:18 2022/6/3,1,850,12644
 14:51:19 2022/6/3,1,849,12780
 14:51:19 2022/6/3,1,842,11628
 14:51:20 2022/6/3,0,851,9532
 14:51:20 2022/6/3,1,855,6860
 14:51:21 2022/6/3,1,862,5468
 14:51:21 2022/6/3,1,857,4960
 14:51:22 2022/6/3,1,857,4644
 14:51:22 2022/6/3,0,870,2844
 14:51:23 2022/6/3,1,873,2004
 14:51:23 2022/6/3,1,877,748
 14:51:24 2022/6/3,1,878,660
 14:51:25 2022/6/3,1,867,960
 14:51:25 2022/6/3,1,870,1252
 14:51:26 2022/6/3,0,872,608
 14:51:26 2022/6/3,1,871,924
 14:51:27 2022/6/3,1,867,392
 14:51:27 2022/6/3,1,869,356
 14:51:28 2022/6/3,34,866,880
 14:51:28 2022/6/3,1023,869,508
 14:51:29 2022/6/3,1017,865,456
 14:51:29 2022/6/3,12,867,460
 14:51:30 2022/6/3,0,869,564
 14:51:30 2022/6/3,0,871,612
 14:51:31 2022/6/3,0,870,360
 14:51:31 2022/6/3,0,863,612
 14:51:32 2022/6/3,0,872,560
 14:51:32 2022/6/3,0,869,408
 14:51:33 2022/6/3,0,863,444
 14:51:33 2022/6/3,0,860,552
 14:51:34 2022/6/3,0,861,524
 14:51:34 2022/6/3,0,864,724
 14:51:35 2022/6/3,0,864,540
 14:51:35 2022/6/3,0,869,324
 14:51:36 2022/6/3,0,894,120
 14:51:36 2022/6/3,0,902,388
 14:51:37 2022/6/3,0,895,392
 14:51:37 2022/6/3,0,894,224
 14:51:38 2022/6/3,0,887,232
 14:51:38 2022/6/3,0,887,260
 14:51:39 2022/6/3,0,885,560
 14:51:39 2022/6/3,0,881,96
 14:51:40 2022/6/3,0,882,444
 14:51:40 2022/6/3,0,882,152
 14:51:41 2022/6/3,0,876,508
 14:51:41 2022/6/3,0,870,464
 14:51:42 2022/6/3,0,871,548
 14:51:42 2022/6/3,0,871,488
 14:51:43 2022/6/3,1,873,408
 14:51:43 2022/6/3,0,875,456
 14:51:44 2022/6/3,0,866,532
 14:51:44 2022/6/3,0,869,368
 14:51:45 2022/6/3,0,868,312
 14:51:45 2022/6/3,0,864,692
 14:51:46 2022/6/3,0,864,436
 14:51:46 2022/6/3,0,863,456
 14:51:47 2022/6/3,0,865,636
 14:51:47 2022/6/3,0,869,596
 14:51:48 2022/6/3,0,868,456
 14:51:48 2022/6/3,0,868,544
 14:51:49 2022/6/3,0,868,492
 14:51:49 2022/6/3,0,869,612
 14:51:50 2022/6/3,0,868,392
 14:51:50 2022/6/3,0,871,392
 14:51:51 2022/6/3,0,868,424
